class_name,precision,recall,f1-score,support,value
Angry,0.676923076923077,0.4055299539170507,0.5072046109510087,434.0,
Contempt,0.0,0.0,0.0,0.0,
Disgust,0.3902439024390244,0.6274509803921569,0.48120300751879697,408.0,
Fear,0.592156862745098,0.49185667752442996,0.5373665480427047,307.0,
Happiness,0.8842315369261478,0.7476793248945147,0.8102423411065386,1185.0,
Neutral,0.7350597609561753,0.5426470588235294,0.6243654822335025,680.0,
Sadness,0.6989898989898989,0.7238493723849372,0.71120246659815,478.0,
Surprise,0.5798319327731093,0.6291793313069909,0.6034985422740525,329.0,
accuracy,,,,,0.6257524208322429
macro avg,0.5696796214690664,0.5210240874054513,0.5343853748405942,3821.0,
weighted avg,0.7085404791284197,0.6257524208322429,0.6554934990949035,3821.0,
