,best_val_acc,best_val_epoch,final_val_acc,best_train_acc,final_train_acc,avg_epoch_time
100M_0W,57.21739130434783,3,53.27536231884058,98.70014771048744,98.70014771048744,90.2276807308197
100M_25W,55.30434782608695,2,54.72463768115942,96.09302325581395,96.09302325581395,105.49544471502304
100M_50W,58.14492753623188,2,55.42028985507246,96.03372293542824,96.03372293542824,116.0216138958931
100M_75W,56.46376811594203,2,55.88405797101449,96.28482972136223,96.28482972136223,123.60023981332779
100M_100W,55.01449275362319,2,52.57971014492754,96.76962312269765,96.76962312269765,134.44498360157013
100W_0M,53.15942028985507,2,51.2463768115942,96.21562755240947,96.21562755240947,94.39430314302444
100W_25M,55.594202898550726,1,55.01449275362319,92.91565198140358,92.91565198140358,106.7976786295573
100W_50M,56.927536231884055,2,53.333333333333336,96.62565249813572,96.62565249813572,116.23002737760544
100W_75M,56.52173913043478,1,53.6231884057971,93.17230273752013,93.17230273752013,129.48532565434775
